id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepemilikan,jumlah_faskes,satuan,tahun
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KEMENTERIAN LAIN,0,UNIT,2019
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEM.PROV,0,UNIT,2019
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEM.KAB/KOTA,2,UNIT,2019
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TNI/POLRI,0,UNIT,2019
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUMN,0,UNIT,2019
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,0,UNIT,2019
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KEMENKES,0,UNIT,2019
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KEMENTERIAN LAIN,0,UNIT,2019
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEM.PROV,0,UNIT,2019
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEM.KAB/KOTA,1,UNIT,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TNI/POLRI,0,UNIT,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUMN,0,UNIT,2019
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,2,UNIT,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KEMENKES,0,UNIT,2019
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KEMENTERIAN LAIN,0,UNIT,2019
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEM.PROV,0,UNIT,2019
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEM.KAB/KOTA,3,UNIT,2019
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TNI/POLRI,1,UNIT,2019
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUMN,1,UNIT,2019
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,6,UNIT,2019
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,KEMENKES,0,UNIT,2019
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,KEMENTERIAN LAIN,0,UNIT,2019
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEM.PROV,0,UNIT,2019
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEM.KAB/KOTA,1,UNIT,2019
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,TNI/POLRI,1,UNIT,2019
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUMN,1,UNIT,2019
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,4,UNIT,2019
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KEMENKES,0,UNIT,2019
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KEMENTERIAN LAIN,0,UNIT,2019
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEM.PROV,0,UNIT,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEM.KAB/KOTA,1,UNIT,2019
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TNI/POLRI,0,UNIT,2019
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUMN,0,UNIT,2019
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,7,UNIT,2019
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KEMENKES,0,UNIT,2019
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KEMENTERIAN LAIN,0,UNIT,2019
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEM.PROV,0,UNIT,2019
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEM.KAB/KOTA,1,UNIT,2019
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TNI/POLRI,0,UNIT,2019
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUMN,0,UNIT,2019
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,17,UNIT,2019
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,KEMENKES,0,UNIT,2019
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,KEMENTERIAN LAIN,0,UNIT,2019
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEM.PROV,0,UNIT,2019
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEM.KAB/KOTA,2,UNIT,2019
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,TNI/POLRI,0,UNIT,2019
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUMN,0,UNIT,2019
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,42,UNIT,2019
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KEMENKES,0,UNIT,2019
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KEMENTERIAN LAIN,0,UNIT,2019
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEM.PROV,0,UNIT,2019
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEM.KAB/KOTA,3,UNIT,2019
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TNI/POLRI,0,UNIT,2019
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUMN,0,UNIT,2019
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,3,UNIT,2019
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KEMENKES,0,UNIT,2019
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KEMENTERIAN LAIN,0,UNIT,2019
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEM.PROV,0,UNIT,2019
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEM.KAB/KOTA,0,UNIT,2019
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TNI/POLRI,0,UNIT,2019
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BUMN,0,UNIT,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,0,UNIT,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,KEMENKES,0,UNIT,2019
128,32,JAWA BARAT,3271,KOTA BOGOR,KEMENTERIAN LAIN,0,UNIT,2019
129,32,JAWA BARAT,3271,KOTA BOGOR,PEM.PROV,0,UNIT,2019
130,32,JAWA BARAT,3271,KOTA BOGOR,PEM.KAB/KOTA,1,UNIT,2019
131,32,JAWA BARAT,3271,KOTA BOGOR,TNI/POLRI,2,UNIT,2019
132,32,JAWA BARAT,3271,KOTA BOGOR,BUMN,0,UNIT,2019
133,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,13,UNIT,2019
134,32,JAWA BARAT,3272,KOTA SUKABUMI,KEMENKES,0,UNIT,2019
135,32,JAWA BARAT,3272,KOTA SUKABUMI,KEMENTERIAN LAIN,0,UNIT,2019
136,32,JAWA BARAT,3272,KOTA SUKABUMI,PEM.PROV,0,UNIT,2019
137,32,JAWA BARAT,3272,KOTA SUKABUMI,PEM.KAB/KOTA,2,UNIT,2019
138,32,JAWA BARAT,3272,KOTA SUKABUMI,TNI/POLRI,1,UNIT,2019
139,32,JAWA BARAT,3272,KOTA SUKABUMI,BUMN,0,UNIT,2019
140,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,3,UNIT,2019
141,32,JAWA BARAT,3273,KOTA BANDUNG,KEMENKES,1,UNIT,2019
142,32,JAWA BARAT,3273,KOTA BANDUNG,KEMENTERIAN LAIN,0,UNIT,2019
143,32,JAWA BARAT,3273,KOTA BANDUNG,PEM.PROV,0,UNIT,2019
144,32,JAWA BARAT,3273,KOTA BANDUNG,PEM.KAB/KOTA,1,UNIT,2019
145,32,JAWA BARAT,3273,KOTA BANDUNG,TNI/POLRI,3,UNIT,2019
